t,in,2,3
-9.443200E-05,2.022963E+00,1.9634900E+00,1.1874014E+00
-9.441600E-05,2.035247E+00,1.9683728E+00,1.1896140E+00
-9.440000E-05,2.035949E+00,1.9457898E+00,1.1869437E+00
-9.438400E-05,2.032439E+00,1.9586072E+00,1.1883932E+00
-9.436800E-05,2.024543E+00,1.9622693E+00,1.1890799E+00
-9.435200E-05,2.027350E+00,1.9683728E+00,1.1878592E+00
-9.433600E-05,2.033667E+00,1.9769177E+00,1.1893851E+00
-9.432000E-05,2.030158E+00,1.9604382E+00,1.1871725E+00
-9.430400E-05,2.027350E+00,1.9555554E+00,1.1854178E+00
-9.428800E-05,2.027350E+00,1.9790540E+00,1.1886221E+00
-9.427200E-05,2.032439E+00,1.9555554E+00,1.1869437E+00
-9.425600E-05,2.037528E+00,1.9506726E+00,1.1942679E+00
-9.424000E-05,2.028052E+00,1.9573865E+00,1.1857230E+00
-9.422400E-05,2.035247E+00,1.9427380E+00,1.1896140E+00
-9.420800E-05,2.034720E+00,1.9595227E+00,1.1876303E+00
-9.419200E-05,2.024016E+00,1.9525037E+00,1.1920554E+00
-9.417600E-05,2.032439E+00,1.9732556E+00,1.1866385E+00
-9.416000E-05,2.033667E+00,1.9537244E+00,1.1866385E+00
-9.414400E-05,2.028052E+00,1.9573865E+00,1.1857230E+00
-9.412800E-05,2.037001E+00,1.9360242E+00,1.1886221E+00
-9.411200E-05,2.031913E+00,1.9467053E+00,1.1908347E+00
-9.409600E-05,2.035949E+00,1.9613538E+00,1.1888510E+00
-9.408000E-05,2.031386E+00,1.9564709E+00,1.1925131E+00
-9.406400E-05,2.029105E+00,1.9671521E+00,1.1876303E+00
-9.404800E-05,2.035247E+00,1.9537244E+00,1.1896140E+00
-9.403200E-05,2.028052E+00,1.9448743E+00,1.1912924E+00
-9.401600E-05,2.029631E+00,1.9702039E+00,1.1910635E+00
-9.400000E-05,2.033667E+00,1.9781384E+00,1.1893851E+00
-9.398400E-05,2.029631E+00,1.9378552E+00,1.1893851E+00
-9.396800E-05,2.031913E+00,1.9525037E+00,1.1910635E+00
-9.395200E-05,2.031386E+00,1.9586072E+00,1.1890799E+00
-9.393600E-05,2.035949E+00,1.9564709E+00,1.1864096E+00
-9.392000E-05,2.032965E+00,1.9525037E+00,1.1861807E+00
-9.390400E-05,2.039809E+00,1.9732556E+00,1.1940390E+00
-9.388800E-05,2.035949E+00,1.9262585E+00,1.1906058E+00
-9.387200E-05,2.024543E+00,1.9586072E+00,1.1883932E+00
-9.385600E-05,2.037001E+00,1.9467053E+00,1.1878592E+00
-9.384000E-05,2.031386E+00,1.9546399E+00,1.1915976E+00
-9.382400E-05,2.034720E+00,1.9555554E+00,1.1896140E+00
-9.380800E-05,2.029105E+00,1.9692883E+00,1.1878592E+00
-9.379200E-05,2.032439E+00,1.9848523E+00,1.1886221E+00
-9.377600E-05,2.038054E+00,1.9448743E+00,1.1903769E+00
-9.376000E-05,2.033667E+00,1.9711194E+00,1.1878592E+00
-9.374400E-05,2.034720E+00,1.9488416E+00,1.1925131E+00
-9.372800E-05,2.035949E+00,1.9448743E+00,1.1920554E+00
-9.371200E-05,2.039809E+00,1.9537244E+00,1.1888510E+00
-9.369600E-05,2.029105E+00,1.9457898E+00,1.1893851E+00
-9.368000E-05,2.034194E+00,1.9506726E+00,1.1886221E+00
-9.366400E-05,2.041564E+00,1.9525037E+00,1.1861807E+00
-9.364800E-05,2.035949E+00,1.9644055E+00,1.1900717E+00
